,Pret_Raw,Full_Description,Suprafata_Utila,Nr_Camere,An_Constructie,Zona
0,72 500 €,"1 |  /  | 8 | 72 500 € | 1768 €/m² | Etaj 1 Apartament 1 Camera Decomandat 41mp Bloc 2019 zona Cug | CUG, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 41 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Va propun spre vanzare un apartament cu 1 camera decomandat suprafata 41mp situat la etajul 1 din 4 intr-un bloc nou construit pe cadre in 2019. Imobilul se vinde mobilat si utilat. Blocul beneficiaza... | ZDA | Agenție imobiliară",41.0,1.0,2019.0,CUG
2,180 000 €,"1 |  /  | 8 | 180 000 € | 2486 €/m² | Oportunitate! Ultracentral - UMF, 3 camere liber, balcon generos | Strada Academiei, Centru, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 72.4 m² | Etaj | 4 etajul | Vezi descrierea anunțului | casa-alba.ro - din 2001
Impartim bucuria de a fi acasa!

Agentia Imobiliara Casa Alba va prezinta spre vanzare un apartament cu 3 camere, model decomandat, situat ultracentral - Bd. Independentei, ... | Agentia Imobiliara Casa Alba | Agenție imobiliară",72.4,3.0,2001.0,Strada Academiei
4,62 500 €,"1 |  /  | 9 | 62 500 € | 1786 €/m² | Apartament 1 camera, decomandat, mobilat si utilat, Frumoasa-Poitiers | Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 35 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Apartament 1 camera, decomandat, complet mobilat si utilat, aflat la etajul 4 cu pod deasupra, intr-un bloc din anul 1978 in zona Frumoasa - B-dul PoitiersApartamentul are o suprafata de aproximativ 3... | Greenland Imobiliare | Agenție imobiliară",35.0,1.0,1978.0,Iasi (General)
5,144 900 €,"1 |  /  | 14 | 144 900 € | 1985 €/m² | Centru - Podul de Fier (Intersectie) , 2 camere , 73 mp, etaj 1 | Podu de Fier, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 73 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Apartament 2 camere, 73 mp, Podul de Fier &ndash; etaj 1, decomandat, 3 balcoane | Pre&#539;: 149900 &euro; V&#259; propunem spre v&acirc;nzare un apartament spa&#539;ios de 73 mp, situat &icirc;ntr-u... | DUAL AGENCY IMOB | Agenție imobiliară",73.0,2.0,1985.0,Podu de Fier
6,119 500 €,"cum 2 zile | ... | ... | ... | 1 |  /  | 6 | 119 500 € | 1959 €/m² | Apartament 3 camere cu gradina de 150 mp, loc de parcare inclus | CUG, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 61 m² | Etaj | parter | Vezi descrierea anunțului | Oferim spre vanzare un apartament finalizat de 3 camere, modern - ce dispune de o suprafata utila totala de 61 mp.Apartamentul este situat intr-un imobil nou, la parter - cu gradina privata (in acte) ... | Reactualizat | INOV | Agenție imobiliară",150.0,3.0,1959.0,CUG
9,85 000 €,"1 |  /  | 19 | 85 000 € | 905 €/m² | 4 camere spatios la parter, disponibil imediat, Tatarasi - Doi Baieti | Strada Vasile Lupu, Tatarasi Sud, Iasi, Iasi | Numărul de camere | 4 camere | Prețul pe metru pătrat | 93.93 m² | Etaj | parter | Vezi descrierea anunțului | casa-alba.ro - din 2001
Impartim bucuria de a fi acasa!

Agentia Imobiliara CASA ALBA va prezinta spre vanzare un apartament cu 4 camere semidecomandat, foarte generos ca si suprafata, situat la pa... | Agentia Imobiliara Casa Alba | Agenție imobiliară",93.93,4.0,2001.0,Strada Vasile Lupu
11,106 000 €,"1 |  /  | 6 | 106 000 € | 2120 €/m² | Apartament 2 camere decomandat - etaj 1 - in spate la OMV Nicolina | Nicolina 1, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 50 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Apartament 2 camere – 50 mp – Mobilat &amp; Utilat – Bloc 2015Se vinde apartament cu 2 camere, având o suprafață de 50 mp, situat într-un bloc construit în 2014, la doar 500 m de OMV Nicolina. Apartam... | ZDA | Agenție imobiliară",50.0,2.0,2015.0,Nicolina 1
12,73 500 €,"1 |  /  | 10 | 73 500 € | 1289 €/m² | Tatarasi-Dispecer-2 Camere 57mp-liber | Tatarasi Nord, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 57 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 2 camere semidecomandat de 57mp situat in zona Tatarasi-Posta,la etajul 3/10 intr-un bloc pe cadre construit in anul 1972,cu acces direct catre mijloacele de ... | ZDA | Agenție imobiliară",57.0,2.0,1972.0,Tatarasi Nord
16,97 500 €,"1 |  /  | 12 | 97 500 € | 2120 €/m² | Podul de Fier-Profesor Paul-2 Camere Decomandat-bloc 82' | Strada Conductelor, Podu de Fier, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 46 m² | Etaj | parter | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 2 camere decomandat situat in zona Podul de Fier-Profesor Paul,la parterul unui bloc de 4 etaje construit in anul 1982,cu acces rapid catre mijloacele de tran... | ZDA | Agenție imobiliară",46.0,2.0,1982.0,Strada Conductelor
17,105 000 €,"1 |  /  | 8 | 105 000 € | 1313 €/m² | Apartament 3 camere | 80mp | Bloc 2016 | Bucium, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 80 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Vă propun spre vânzare un apartament cu 3 camere, cu o suprafata de 80mp situat la etajul 4 al unui imobil construit în 2016. Proprietatea se vinde complet mobilată, fiind ideală atât pentru locuire i... | ZDA | Agenție imobiliară",80.0,3.0,2016.0,Bucium
