0,"1 |  /  | 8 | 72 500 € | 1768 €/m² | Etaj 1 Apartament 1 Camera Decomandat 41mp Bloc 2019 zona Cug | CUG, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 41 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Va propun spre vanzare un apartament cu 1 camera decomandat suprafata 41mp situat la etajul 1 din 4 intr-un bloc nou construit pe cadre in 2019. Imobilul se vinde mobilat si utilat. Blocul beneficiaza... | ZDA | Agenție imobiliară"
1,"1 |  /  | 12 | 154 000 € | 2567 €/m² | Apartament de vanzare, 3 camere, loc de parcare+gradina, Valea Lupului | Pacurari, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 60 m² | Etaj | parter | Vezi descrierea anunțului | Apartament 3 camere cu gradina si parcare &ndash; Valea LupuluiApartament cu 3 camere de vanzare, situat in Valea Lupului, intr-o zona linistita si apreciata pentru locuit, ideal pentru familie sau in... | Evo Imobiliare | Agenție imobiliară"
2,"1 |  /  | 8 | 180 000 € | 2486 €/m² | Oportunitate! Ultracentral - UMF, 3 camere liber, balcon generos | Strada Academiei, Centru, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 72.4 m² | Etaj | 4 etajul | Vezi descrierea anunțului | casa-alba.ro - din 2001
Impartim bucuria de a fi acasa!

Agentia Imobiliara Casa Alba va prezinta spre vanzare un apartament cu 3 camere, model decomandat, situat ultracentral - Bd. Independentei, ... | Agentia Imobiliara Casa Alba | Agenție imobiliară"
3,"1 |  /  | 12 | 79 000 € | 1463 €/m² | Podul de Fier-Iasicon Towers-2 Camere 54mp | Strada Cucu, Centru, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 54 m² | Etaj | 5 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 2 camere de 54mp situat in zona Podul de Fier vis a vis de Iasicon Towers,la etajul 5/5 pod (mansarda),cu acces rapid catre mijoacele de transport in comun.Ap... | ZDA | Agenție imobiliară"
4,"1 |  /  | 9 | 62 500 € | 1786 €/m² | Apartament 1 camera, decomandat, mobilat si utilat, Frumoasa-Poitiers | Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 35 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Apartament 1 camera, decomandat, complet mobilat si utilat, aflat la etajul 4 cu pod deasupra, intr-un bloc din anul 1978 in zona Frumoasa - B-dul PoitiersApartamentul are o suprafata de aproximativ 3... | Greenland Imobiliare | Agenție imobiliară"
5,"1 |  /  | 14 | 144 900 € | 1985 €/m² | Centru - Podul de Fier (Intersectie) , 2 camere , 73 mp, etaj 1 | Podu de Fier, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 73 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Apartament 2 camere, 73 mp, Podul de Fier &ndash; etaj 1, decomandat, 3 balcoane | Pre&#539;: 149900 &euro; V&#259; propunem spre v&acirc;nzare un apartament spa&#539;ios de 73 mp, situat &icirc;ntr-u... | DUAL AGENCY IMOB | Agenție imobiliară"
6,"cum 2 zile | ... | ... | ... | 1 |  /  | 6 | 119 500 € | 1959 €/m² | Apartament 3 camere cu gradina de 150 mp, loc de parcare inclus | CUG, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 61 m² | Etaj | parter | Vezi descrierea anunțului | Oferim spre vanzare un apartament finalizat de 3 camere, modern - ce dispune de o suprafata utila totala de 61 mp.Apartamentul este situat intr-un imobil nou, la parter - cu gradina privata (in acte) ... | Reactualizat | INOV | Agenție imobiliară"
7,"1 |  /  | 21 | 120 000 € | 2590 €/m² | Apartament 2 camere bloc boutique Restaurant Little Texas | Stradela Moara de Vant, Moara de Vant, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 46.34 m² | Etaj | 1 etajul | Vezi descrierea anunțului | PROPRIETATE  EXCLUSIVA oferIta de Agentia VIBE REAL ESTATE! Va oferim spre achizitie un  apartament cu 2 camere (suprafata utila de 46.34mp ) situat in zona rezidentiala Podul de fier - Moara de Vant,... | VIBE REAL ESTATE | Agenție imobiliară"
8,"1 |  /  | 8 | 87 000 € | 2719 €/m² | Copou-Etajul 1- Universitatea A.I.Cuza | Copou, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 32 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Agenția Unu Imobiliare va propune spre vanzare un apartament cu doua camere de 32 mp situat in Copou, intr-un bloc cu 2 etaje, fără risc seismic. Apartamentul vine la pachet si cu o boxa de 7 mp.Pentr... | ZDA | Agenție imobiliară"
9,"1 |  /  | 19 | 85 000 € | 905 €/m² | 4 camere spatios la parter, disponibil imediat, Tatarasi - Doi Baieti | Strada Vasile Lupu, Tatarasi Sud, Iasi, Iasi | Numărul de camere | 4 camere | Prețul pe metru pătrat | 93.93 m² | Etaj | parter | Vezi descrierea anunțului | casa-alba.ro - din 2001
Impartim bucuria de a fi acasa!

Agentia Imobiliara CASA ALBA va prezinta spre vanzare un apartament cu 4 camere semidecomandat, foarte generos ca si suprafata, situat la pa... | Agentia Imobiliara Casa Alba | Agenție imobiliară"
10,"1 |  /  | 14 | 128 900 € | 2432 €/m² | Apartament de vanzare, 3 camere, etaj 2, Pacurari, Iasi | Pacurari, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 53 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Apartament 3 camere complet renovat, mobilat si utilat &ndash; Pacurari, IasiApartament complet renovat, mobilat si utilat, totul nou, pregatit pentru mutare imediata. Localizare premiumVa propunem o ... | Evo Imobiliare | Agenție imobiliară"
11,"1 |  /  | 6 | 106 000 € | 2120 €/m² | Apartament 2 camere decomandat - etaj 1 - in spate la OMV Nicolina | Nicolina 1, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 50 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Apartament 2 camere – 50 mp – Mobilat &amp; Utilat – Bloc 2015Se vinde apartament cu 2 camere, având o suprafață de 50 mp, situat într-un bloc construit în 2014, la doar 500 m de OMV Nicolina. Apartam... | ZDA | Agenție imobiliară"
