Titlu,Pret_Raw,Link,Full_Description,Pret_EUR
Titlu Necunoscut,85 000 €,https://www.storia.ro/ro/oferta/de-vanzare-apartament-3-camere-mircea-cel-batran-IDFThK,"Adăugat astăzi | ... | ... | ... | ... | ... | ... | 1 |  /  | 9 | 85 000 € | 1667 €/m² | DE VANZARE-APARTAMENT 3 CAMERE-MIRCEA CEL BATRAN | Mircea cel Batran, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 51 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Agentia Invest Imobiliare va propune spre vanzare un apartament de 3 camere, modelul semidecomandat, situat la etajul 4 intr-un bloc cu pod ce a fost construit in anul 1979, acesta fiind fara risc sei... | INVEST IMOBILIARE | Agenție imobiliară",
Titlu Necunoscut,115 000 €,https://www.storia.ro/ro/oferta/intabulat-copou-2-camere-open-space-royal-town-IDEdR1,"... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 15 | 115 000 € | 2396 €/m² | Intabulat Copou, 2 camere open-space - Royal Town | Aleea Sadoveanu, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 48 m² | Etaj | 10 etajul | Vezi descrierea anunțului | De vânzare apartament intabulat și mobilat cu 2 camere compartimentat open-space, având suprafața totală de 48 mp și fiind situat la etajul 10/10 la prețul total de 115.000 euro.Apartamentul este mobi... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",
Titlu Necunoscut,162 220 €,https://www.storia.ro/ro/oferta/apartament-3-camere-modern-living-copou-iasi-IDvT8B,"... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 13 | 162 220 € | 1900 €/m² | Apartament 3 camere modern-living, Copou, Iasi | Agronomie, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 85.38 m² | Etaj | 8 etajul | Vezi descrierea anunțului | Proiectat pentru iubitorii de natură și persoane dinamice, cu posibilități ample de personalizare a spațiului, ansamblul rezidențial ROYAL TOWN îți oferă un mediu care reflectă personalitatea și stilu... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",
Titlu Necunoscut,135 000 €,https://www.storia.ro/ro/oferta/apartament-4-camere-si-2-bi-IDFpGV,"... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 11 | 135 000 € | 1688 €/m² | Apartament 4 camere si 2 băi | Bulevardul Poitiers, Frumoasa, Iasi, Iasi | Numărul de camere | 4 camere | Prețul pe metru pătrat | 80 m² | Etaj | parter | Vezi descrierea anunțului | Stroe House Land va propune spre vânzare un apartament luminos și confortabil, situat în Frumoasa , bulevard Poitiers, Iași.Apartamentul se află la parter (înalt), într-o clădire de trei nivele și are... | Reactualizat | STROE HOUSE LAND SRL | Agenție imobiliară",
Titlu Necunoscut,126 000 €,https://www.storia.ro/ro/oferta/apartament-de-vanzare-decomandat-nou-mobilat-i-utilat-IDEjOa,"... | ... | ... | ... | ... | ... | ... | 1 |  /  | 10 | 126 000 € | 2032 €/m² | Apartament de vanzare decomandat nou,  mobilat și utilat | Strada Tatarasi, Tatarasi Nord, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 62 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Apartament 2 camere decomandat, 62 mp , etaj 2, intabulat | Solumnia – Tatarasi, Iasi |Stroe House Land Imobiliare propune spre vanzare un apartament cu 2 camere, decomandat, situat in cartierul Tatar... | Reactualizat | STROE HOUSE LAND SRL | Agenție imobiliară",
Titlu Necunoscut,70 000 €,https://www.storia.ro/ro/oferta/vanzare-apartament-cu-2-camere-podu-ros-gara-internationala-IDFTgM,"Adăugat astăzi | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 14 | 70 000 € | 1273 €/m² | Vanzare apartament cu 2 camere, Podu Ros - Gara Internationala | Podu Ros, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 55 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Agentia Top Imobil va propune spre vanzare un apartament cu 2 camere semidecomandat, model cu 2 balcoane, situat in zona Podu Ros - Gara Internationala. la etajul 4 din 4.Apartamentul dispune de o sup... | Top Imobil | Agenție imobiliară",
Titlu Necunoscut,95 900 €,https://www.storia.ro/ro/oferta/nicolina-cug-rond-vechi-ap-2-cd-54mp-bloc-din-1985-IDFTfE,"Adăugat astăzi | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 10 | 95 900 € | 1776 €/m² | Nicolina – CUG – Rond Vechi! Ap 2 CD, 54mp, bloc din 1985 | Nicolina 2, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 54 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Agentia Viva Imobiliare va propune spre vanzare un apartament cu 2 camere, modelul decomandat, cu o suprafata de 55 mp, renovat complet in anul 2025 (tamplarie PVC cu geam tripan, instalatie termica p... | Viva Imobiliare | Agenție imobiliară",
Titlu Necunoscut,167 000 €,https://www.storia.ro/ro/oferta/apartament-cu-2-camere-decomandat-etajul-1-centru-palas-mall-IDFTfx,"Adăugat astăzi | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 10 | 167 000 € | 2609 €/m² | Apartament cu 2 camere decomandat, etajul 1 - Centru - Palas Mall. | Tudor Vladimirescu, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 64 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Agentia Top Imobil va propune spre vanzare un apartament cu 2 camere decomandat situat la etajul 1 in zona Centru - Pallas Mall, langa Judecatoria Iasi, bloc antiseism construit in 1985.Apartamentul d... | Top Imobil | Agenție imobiliară",
Titlu Necunoscut,126 425 €,https://www.storia.ro/ro/oferta/intabulat-apartament-nou-2-camere-etaj-3-royal-town-copou-IDE0DZ,"... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 18 | 126 425 € | 2529 €/m² | Intabulat! Apartament Nou 2 camere, etaj 3, Royal Town Copou | Aleea Sadoveanu, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 50 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Apartament de vânzare 2 camere open space, ideal pentru investitie, in Iași , Copou, Aleea Mihail Sadoveanu construcție nouă, în ansamblul rezidențial ROYAL TOWN.Apartamentul este nou,intabulat, are s... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",
Titlu Necunoscut,132 000 €,https://www.storia.ro/ro/oferta/de-vnzare-ap-2-camere-decomandat-i-intabulat-royal-town-copou-IDFbSr,"... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 14 | 132 000 € | 2538 €/m² | De vânzare ap 2 camere decomandat și intabulat - Royal Town Copou | Aleea Sadoveanu, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 52 m² | Etaj | parter | Vezi descrierea anunțului | Apartament de vânzare 2 camere decomandat, ideal pentru investitie, in Iași, Copou, Aleea Mihail Sadoveanu, în ansamblul rezidențial ROYAL TOWN.Apartamentul este intabulat, are suprafata utilă 52 mp +... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",
