Titlu,Pret_Raw,Link,Full_Description,Pret_EUR
Titlu Necunoscut,114 500 €,https://www.storia.ro/ro/oferta/apartament-3-camere-70-mp-tatarasi-etaj-2-4-bloc-fara-risc-seis-IDG2IE,"Adăugat astăzi | ... | ... | ... | ... | ... | ... | 1 |  /  | 9 | 114 500 € | 1684 €/m² | Apartament 3 camere, 70 mp | Tatarasi | Etaj 2/4 | Bloc fara risc seis | Tatarasi Nord, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 68 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Vă propun spre vânzare un apartament cu 3 camere semidecomandat, situat în Tătărași, într-un bloc fără risc seismic, la etajul 2 din 4. Locuința are o suprafață utilă totală de 70 mp, este spațioasă ș... | Destine Imobiliare | Agenție imobiliară",
Titlu Necunoscut,116 000 €,https://www.storia.ro/ro/oferta/apartament-3-camere-decomandat-etaj-4-din-5-canta-mobilat-si-utila-IDFE80,"... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 20 | 116 000 € | 1657 €/m² | APARTAMENT 3 CAMERE, DECOMANDAT, ETAJ 4 DIN 5, CANTA, MOBILAT SI UTILA | Canta, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 70 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Va propun spre cumparare un apartament spatios, cu 3 camere, decomandat, situat intr-un bloc construit in anul 1983, la etajul 4 din 5, avand deasupra o mansarda locuita, in zona Canta linia a 2- a de... | Reactualizat | Plus Imobiliare | Agenție imobiliară",
Titlu Necunoscut,123 270 €,https://www.storia.ro/ro/oferta/apartament-2-camere-de-vanzare-bloc-nou-decomandat-IDFRlU,"... | ... | ... | ... | ... | 1 |  /  | 8 | 123 270 € | 2100 €/m² | Apartament 2 camere de vanzare, bloc nou, decomandat | Podu Ros, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 58.7 m² | Etaj | 3 etajul | Vezi descrierea anunțului | În complexul rezidențial Mitropolit Residence, îți propunem un apartament modern cu 2 camere, bine compartimentat, cu o suprafață totală de 58,7 mp, ideal atât pentru locuit, cât și pentru investiție.... | Reactualizat | Proprietar",
Titlu Necunoscut,71 000 €,https://www.storia.ro/ro/oferta/apartament-2-camere-mircea-cel-batran-liceul-de-turism-IDFVBm,"... | ... | ... | ... | 1 |  /  | 7 | 71 000 € | 1651 €/m² | Apartament 2 camere Mircea cel Batran-Liceul de Turism | Mircea cel Batran, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 43 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 2 camere semidecomandat situat in Mircea cel Batran, cu vedere luminoasa spre sud in imediata apropiere a liceului Tehnologic de Turism si a cresei nr 15.Zona... | Reactualizat | Plus Imobiliare | Agenție imobiliară",
Titlu Necunoscut,180 000 €,https://www.storia.ro/ro/oferta/apartament-2c-lux-copou-complex-copou-garden-etaj-8-10-65mp-mobilat-IDG2GY,"Adăugat astăzi | ... | ... | ... | ... | ... | ... | 1 |  /  | 9 | 180 000 € | 2769 €/m² | Apartament 2C Lux Copou Complex Copou Garden Etaj 8/10 65MP Mobilat | Agronomie, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 65 m² | Etaj | 8 etajul | Vezi descrierea anunțului | Se oferă spre vânzare un apartament exclusivist, situat în complexul rezidențial Copou Garden Residence, finalizat în decembrie 2025. Apartamentul este nou, nelocuit, complet mobilat și utilat, amenaj... | Start Imobiliare | Agenție imobiliară",
Titlu Necunoscut,94 500 €,https://www.storia.ro/ro/oferta/apartament-cu-2-camere-in-bloc-nou-zona-tatarasi-ateneu-IDG2GA,"Adăugat astăzi | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 16 | 94 500 € | 2779 €/m² | Apartament cu 2 camere in bloc nou, zona Tatarasi-Ateneu | Tatarasi Nord, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 34 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Vă propunem spre achiziționare un apartament cu 2 camere într-un bloc nou amplasat în zona Piața Chirilă-Ateneu din cartierul Tătărași.Pentru confort termic, imobilul beneficiază de tâmplărie tripan, ... | INVEST IMOBILIARE | Agenție imobiliară",
Titlu Necunoscut,120 000 €,https://www.storia.ro/ro/oferta/apartament-3-camere-decomandat-zona-moara-de-foc-lidl-iasi-IDG2G9,"Adăugat astăzi | ... | ... | ... | ... | ... | ... | 1 |  /  | 9 | 120 000 € | 2000 €/m² | Apartament 3 camere, decomandat, zona Moara de foc-Lidl, Iasi | Canta, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 60 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 3 camere, decomandat, cu suprafata totala de 60 mp, situat la etajul 2 dintr-un bloc cu 4 etaje construit in anul 1980 in zona Moara de foc, Iasi. Apartamentu... | INVEST IMOBILIARE | Agenție imobiliară",
Titlu Necunoscut,212 900 €,https://www.storia.ro/ro/oferta/apartament-3-camere-de-tip-penthouse-zona-casa-sindicatelor-bloc-nou-IDF9gj,"... | ... | ... | 1 |  /  | 6 | 212 900 € | 1661 €/m² | Apartament 3 camere de tip penthouse zona Casa Sindicatelor, bloc nou | Podu Ros, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 128.14 m² | Etaj | 8 etajul | Vezi descrierea anunțului | Penthouse cu terasă panoramică | Mitropolit Residence | 5 minute PalasNu este doar un apartament. Este spațiul în care orașul rămâne jos, iar liniștea urcă la tine. La ultimul etaj al ansamblului Mitr... | Reactualizat | Proprietar",
Titlu Necunoscut,92 000 €,https://www.storia.ro/ro/oferta/apartament-nou-model-decomandat-acte-la-zi-IDG2FB,"Adăugat astăzi | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 14 | 92 000 € | 1484 €/m² | Apartament nou, model decomandat. Acte la zi! | CUG, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 62 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Bloc nou REVANZARE !Acest apartament de 62 mp se află la parterul unui bloc cu trei niveluri, dar demisolul este locuit; construit din cărămidă. Este gata de utilizare și include mobilier, electrocasn... | Practic Invest | Agenție imobiliară",
Titlu Necunoscut,99 000 €,https://www.storia.ro/ro/oferta/apartament-cu-3cd-80mp-in-valea-lupului-IDFxIj,"... | ... | ... | ... | ... | ... | ... | 1 |  /  | 10 | 99 000 € | 1414 €/m² | Apartament cu 3CD, 80mp, in Valea Lupului | Strada Bisericii, Valea Lupului, Valea Lupului, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 70 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Va propunem un apartament  cu 3 camere decomandat de vanzare in  Valea Lupului, langa Primarie. Locuinta este la etajul 1 din 4 al unui bloc dat in folosinta in 1990, situat la bulevard,  termoizolat.... | Reactualizat | IMOCONFORT | Agenție imobiliară",
