Titlu,Pret_EUR,Pret_Raw,Link,Descriere_Completa,Descriere_Preview
"Apartament 5 camere, 135 mp, terasa 250 mp, zona Visani",181000.0,181 000 €,https://www.storia.ro/ro/oferta/apartament-5-camere-135-mp-terasa-250-mp-zona-visani-IDFWez,"Blitz vă propune un apartament deosebit, situat într-o zonă liniștită din Visan, la doar câțiva pași de Mega Image și alte facilități. 

Cu un spațiu generos și multiple dotări, această locuință este ideală pentru cei care caută confort, funcționalitate și intimitate. Caracteristici principale: Suprafață utilă: 135 mp, perfect compartimentați pentru a oferi un spațiu aerisit și confortabil. Terasa: o terasă spectaculoasă de 250 mp, ideală pentru relaxare, grătar sau amenajarea unui spațiu verde propriu. Parcare: 3 locuri de parcare dedicate, incluse în proprietate. Spații de depozitare: beci și 3 magazii spațioase, oferind soluții excelente pentru depozitare. Detalii interioare: Living generos: ideal pentru momentele de relaxare sau socializare. 5 dormitoare: spațioase, luminoase și bine compartimentate, perfecte pentru familii numeroase sau pentru birouri personale. Bucătărie modernă: proiectată pentru funcționalitate, cu spațiu suficient pentru gătit și depozitare. Băi: 2 băi moderne, cu finisaje de calitate superioară, asigurând confortul necesar. Proximitate: acces facil la magazine, școli, grădinițe, mijloace de transport în comun și alte servicii, toate la distanță de mers pe jos. Zonă liniștită: perfectă pentru familii sau cei care caută un refugiu urban, dar cu acces rapid către oraș. De ce să alegi acest apartament? Această proprietate oferă un spațiu generos, dotări complete și o locație excelentă, fiind potrivită atât pentru familii numeroase, cât și pentru cei care doresc un stil de viață confortabil și modern. 

Va asteptam cu drag la vizionare!

Cod ofertă / ID BLITZ: P160825","... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 | / | 20 | 181 000 € | 1341 €/m² | Apartament 5 camere, 135 mp, terasa 250 mp, zona Visani | Bucium, Iasi, Iasi | Numărul de camere | 5 camere | Prețul pe metru pătrat | 135 m² | Etaj | parter | Vezi descrierea anunțului | Blitz vă propune un apartament deosebit, situat într-o zonă liniștită din Visan, la doar câțiva pași de Mega Image și alte facilități. Cu un spațiu generos și multiple dotări, această locuință este id... | Reactualizat | BLITZ | Agenție imobiliară"
Apartament 2 Camere Decomandat - Tatarasi Dispecer,91900.0,91 900 €,https://www.storia.ro/ro/oferta/apartament-2-camere-decomandat-tatarasi-dispecer-IDGt9Q,"Agentia Top Imobil va propune spre vanzare un apartament cu 2 camere, model Decomandat si suprafata de 52mp.
Proprietatea este situata la etajul 4 al unui bloc cu 4 etaje fara risc seismic din zona Tatarasi - Dispecer.
Apartamentul a fost renovat in totalitate in anul 2022 cu instalatii electrice, termice si sanitare noi, centrala termica, aer conditionat, tamplarie PVC tripan, termoizolatie exterioara 10cm, tavan Barrisol, lumini ambientale LED.
*Se vinde mobilat si utilat!
Pret: 91.900 Euro.
Nicorescu Catalin: 0754.549.347","Adăugat astăzi | ... | ... | ... | ... | 1 | / | 7 | 91 900 € | 1767 €/m² | Apartament 2 Camere Decomandat - Tatarasi Dispecer | Tatarasi Sud, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 52 m² | Etaj | etajul 4 | Vezi descrierea anunțului | Agentia Top Imobil va propune spre vanzare un apartament cu 2 camere, model Decomandat si suprafata de 52mp.Proprietatea este situata la etajul 4 al unui bloc cu 4 etaje fara risc seismic din zona Tat... | Top Imobil | Agenție imobiliară"
"Apartament decomandat, 3 camere, 2 bai, zona Nicolina",145000.0,145 000 €,https://www.storia.ro/ro/oferta/apartament-decomandat-3-camere-2-bai-zona-nicolina-IDFbOO,"Blitz va propune spre vanzare un apartament cu 3 camere, decomandat, complet mobilat, renovat, fără investiții necesare. 
Apartamentul se afla in cartierul Nicolina, intr-o zona linistita si sigura, cu acces la mijloacele de transport public, cu scoala in imediata proximitate. Blocul este izolat termic, cu hidroizolatie la acoperis.
Apartamentul este spatios si luminos, cu usi din lemn masiv, parchet premium, este dotat cu aer conditionat, wi fi, centrala termica individuala, contorizari separate gaz-apa-curent, termopan PVC, usa metalica intrare, bucatarie complet utilata, cu toate electrocasnicele incluse, 2 bai, boxa inclusa si acces la uscator.
Facilitati imediate: supermarket (Kaufland, Mega Image, 2Pasi, Profi), frizerie, stomatologie, farmacie, sala fitness, multiple trasee de transport public, spatii joaca copii, parcare usoara la orice ora.
Apartamentul este disponibil pentru mutarea imediata.
Va asteptam cu placere la vizionare!

Cod ofertă / ID BLITZ: P152352","... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 | / | 13 | 145 000 € | 2014 €/m² | Apartament decomandat, 3 camere, 2 bai, zona Nicolina | Nicolina 2, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 72 m² | Etaj | etajul 4 | Vezi descrierea anunțului | Blitz va propune spre vanzare un apartament cu 3 camere, decomandat, complet mobilat, renovat, fără investiții necesare. Apartamentul se afla in cartierul Nicolina, intr-o zona linistita si sigura, cu... | Reactualizat | BLITZ | Agenție imobiliară"
"Direct Dezvoltator, Ap 1cam Etaj 1, Balcon +Loc Parcare!",39900.0,39 900 €,https://www.storia.ro/ro/oferta/direct-dezvoltator-ap-1cam-etaj-1-balcon-loc-parcare-IDGt8W,"DIRECT DEZVOLTATOR VA OFERIM: Apartament cu 1 camera Etaj 1+ Loc de parcare model cu Balcon, situat intr- un Ansamblu Rezidential din Iași, in apropiere de Nicolina- Cug cu numeroase facilități: mijloace de transport în comun statii de autobuz RATP, magazine, cafenea, locuri de joaca pt copii, spatii verzi, strazi asfaltate.
Finisaje: izolatie exterior cu termosistem de 10 cm, Finisaje de înaltă calitate, importate din Italia.Canalizare, EON energie și gaze naturale, contorizare individuala, Apavital.

Programeaza acum o vizionare la Nr de telefon afișat.","Adăugat astăzi | ... | 1 | / | 4 | 39 900 € | 1330 €/m² | Direct Dezvoltator, Ap 1cam Etaj 1, Balcon +Loc Parcare! | CUG, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 30 m² | Etaj | etajul 1 | Vezi descrierea anunțului | DIRECT DEZVOLTATOR VA OFERIM: Apartament cu 1 camera Etaj 1+ Loc de parcare model cu Balcon, situat intr- un Ansamblu Rezidential din Iași, in apropiere de Nicolina- Cug cu numeroase facilități: mijlo... | Imobiliare | Agenție imobiliară"
"Ap 2cam, Etaj 1 , Mobilat, Tătărași apropiere Tudor",69900.0,69 900 €,https://www.storia.ro/ro/oferta/ap-2cam-etaj-1-mobilat-ttrai-apropiere-tudor-IDGt8t,"Oferim spre vânzare Apartament cu 2 camere foarte bine poziționat zona Tatarasi in apropiere de Tudor, Iulius Mall, Mobilat  Etaj 1,   o zona foarte căutată a Iașului, datorita numeroaselor facilități: acces rapid la Facultăți,  Iulius Mall, magazine, parcuri, stații de mijloace de transport.
Apartamentul este Mobilat, modern,renovat, Doar va mutați.
Pentru mai multe informații și oferte nu ezitați să sunați.","Adăugat astăzi | ... | ... | 1 | / | 5 | 69 900 € | 2118 €/m² | Ap 2cam, Etaj 1 , Mobilat, Tătărași apropiere Tudor | Tatarasi Sud, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 33 m² | Etaj | etajul 1 | Vezi descrierea anunțului | Oferim spre vânzare Apartament cu 2 camere foarte bine poziționat zona Tatarasi in apropiere de Tudor, Iulius Mall, Mobilat  Etaj 1,   o zona foarte căutată a Iașului, datorita numeroaselor facilități... | Imobiliare | Agenție imobiliară"
"Bularga - Garsoniera 17 mp, etaj 1, renovata complet, bucatarie pe com",36900.0,36 900 €,https://www.storia.ro/ro/oferta/bularga-garsoniera-17-mp-etaj-1-renovata-complet-bucatarie-pe-com-IDGt8n,"DESTINE IMOBILIARE vă propune spre VÂNZARE:
Camera de camin - cartier Frumoasa

Preț de vânzare: 36.900 € 

Detalii principale:
-Suprafață: aproximativ 16 mp
-Etaj: 1 din 4
-Orientare: SUD
-Scarǎ: acces cu INTERFON + CAMERE video

Avantaje principale:
-Garsonieră RENOVATĂ complet, de la placă
-Bucătărie pe COMANDĂ
-Aer CONDIȚIONAT
-Spațiu eficient compartimentat, ideal pentru confort zilnic
-Zonă cu acces facil la transport public, magazine și puncte de interes
-Proprietatea este liberă și gata de mutare, într-o zonă cu acces rapid către facilități urbane.

Contactați-ne acum pentru a programa o vizionare!
Toni Galu - 0736.84.84.88","Adăugat astăzi | ... | ... | ... | ... | ... | 1 | / | 8 | 36 900 € | 2306 €/m² | Bularga - Garsoniera 17 mp, etaj 1, renovata complet, bucatarie pe com | Baza 3, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 16 m² | Etaj | etajul 1 | Vezi descrierea anunțului | DESTINE IMOBILIARE vă propune spre VÂNZARE:Camera de camin - cartier FrumoasaPreț de vânzare: 36.900 € Detalii principale:-Suprafață: aproximativ 16 mp-Etaj: 1 din 4-Orientare: SUD-Scarǎ: acces cu INT... | Destine Imobiliare | Agenție imobiliară"
"Apartament cu doua camere, Palas Campus, centru Iasi, AC, parcare",212700.0,212 700 €,https://www.storia.ro/ro/oferta/apartament-cu-doua-camere-palas-campus-centru-iasi-ac-parcare-IDGt7I,"Se vinde apartament cu doua camere, 55 mp, nou, localizat la parter ( fara gradina), in zona centrala a Iasiului, Mitropolie_Palas Campus.
Acesta se vinde 2850 euro/ mp (+/- TVA depinde de cumparator).
Loc de parcare la pret fix de 23 000 euro TVA inclus.
Imagini reale.
Pentru detalii si vizionari va rog sa folositi formularul de contact.","Adăugat astăzi | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 | / | 12 | 212 700 € | 3867 €/m² | Apartament cu doua camere, Palas Campus, centru Iasi, AC, parcare | Centru, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 55 m² | Etaj | parter | Vezi descrierea anunțului | Se vinde apartament cu doua camere, 55 mp, nou, localizat la parter ( fara gradina), in zona centrala a Iasiului, Mitropolie_Palas Campus.Acesta se vinde 2850 euro/ mp (+/- TVA depinde de cumparator).... | Biroul Dezvoltatorilor Imobiliari Iasi | Agenție imobiliară"
"Apartament 2 camere, decomandat, Complex Royal Town",129840.0,129 840 €,https://www.storia.ro/ro/oferta/apartament-2-camere-decomandat-complex-royal-town-IDxeHb,"Bine ați venit în Royal Town, locul unde luxul și confortul se întâlnesc pentru a crea o experiență rezidențială cu adevărat excepțională.

Cu o atenție meticuloasă la detalii și utilizând doar materiale de cea mai înaltă calitate, complexul nostru de apartamente redefinește standardele în ceea ce privește locuințele premium.

Pardoselile din marmură adaugă o notă de eleganță în fiecare încăpere, oferind nu doar o estetică impresionantă, ci și durabilitate de lungă durată. Încălzirea prin pardoseală vă oferă senzația plăcută a unui mediu călduros în orice moment al anului, garantând un confort absolut.

Centrala termică Ariston prin condesare asigură nu doar eficiență energetică, ci și un control precis al temperaturii în locuință, pentru a vă face viața mai comodă și mai economică. Intrerupatoarele digitale adaugă un plus de modernitate, oferindu-vă controlul perfect asupra luminii și a ambianței din fiecare cameră.

Parchetul special conceput pentru încălzirea în pardoseală, cu o grosime de 10 mm, oferă o senzație plăcută sub picioare și, în același timp, maximizează eficiența sistemului de încălzire.
În plus, la Royal Town, veți avea acces la numeroase facilități, precum farmacie, supermarket, spații verzi frumos amenajate, sali de fitness și multe altele, care vă vor transforma locuința într-un veritabil sanctuar de relaxare.

Bine ați venit acasă la Royal Town, unde calitatea și luxul se întâlnesc pentru a vă oferi stilul de viață pe care îl meritați.

*PRETUL NU INCLUDE TVA","... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 | / | 17 | 129 840 € | 2497 €/m² | Apartament 2 camere, decomandat, Complex Royal Town | Agronomie, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 52 m² | Etaj | etajul 8 | Vezi descrierea anunțului | Bine ați venit în Royal Town, locul unde luxul și confortul se întâlnesc pentru a crea o experiență rezidențială cu adevărat excepțională.Cu o atenție meticuloasă la detalii și utilizând doar material... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară"
"Predare Aprilie ! Apartament 1 cameră, 44 mp, Royal Town Iași",110000.0,110 000 €,https://www.storia.ro/ro/oferta/predare-aprilie-apartament-1-camer-44-mp-royal-town-iai-IDxeD2,"Spațiile verzi cu gazon rulouri și cu irigare automată, peisagistica profesională, zona liniștită și spațiile de joacă pentru copii vin să întregească tabloul pentru alegerea unui apartament care să devină ''casa ta''.

Aici, în ansamblul rezidențial ROYAL TOWN situat în Copou, vis-a-vis de liceul Teologic, te poți simți în siguranță în casa ta pentru că îți punem la dispoziție supraveghere video 24/7 și acces securizat, lumini ambientale și încadramente arhitecturale pe clădire, sistem de iluminat exterior cu led PHILIPS, videointerfon, aparat de aer condiționat, dar și alte facilități pe care abia așteptăm să ți le prezentăm.

Vă invităm la o vizionare pentru a vă face o idee mai clară asupra apartamentului și a întregului complex de pe culmea Copoului.

Clasa energetică : A
Consumul total de energie primară: 122,24
Indicele de emisii echivalent CO2: 26,12
Consumul total specific de energie din surse regenerabile : 0

*PRETUL NU INCLUDE TVA","... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 | / | 16 | 110 000 € | 2500 €/m² | Predare Aprilie ! Apartament 1 cameră, 44 mp, Royal Town Iași | Agronomie, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 44 m² | Etaj | etajul 2 | Vezi descrierea anunțului | Spațiile verzi cu gazon rulouri și cu irigare automată, peisagistica profesională, zona liniștită și spațiile de joacă pentru copii vin să întregească tabloul pentru alegerea unui apartament care să d... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară"
"Finalizat! Apartament 2 camere, direct dezvoltator , Royal Town, Iasi",128160.0,128 160 €,https://www.storia.ro/ro/oferta/finalizat-apartament-2-camere-direct-dezvoltator-royal-town-iasi-IDvSTp,"Ești în căutarea unei locuințe finalizate, în cea mai frumoasă zonă a Copoului?

Îți propunem un apartament finalizat în 2025 cu 2 camere, decomandat, la etajul 5/8 cu suprafața totală de 64 mp.
Apartamentul se predă nemobilat, la cheie cu următoarele finisaje:
- Centrală termică în condensare marca Ariston cu operare digitală de pe telefonul mobil
- Tâmplărie exterioară PVC Premium 82 mm , 7 camere profil, cu 3 foi de sticlă
- Uși interioare din lemn cu toc reglabil
- Parchet 10 mm conceput special pentru încălzirea în pardoseală
- Încălzire în pardoseală , kit complet REHAU
- Obiecte sanitare încastrate și suspendate VILLEROY & BOCH, robineți GROHE
- Pardoseli placate cu marmură
- Întrerupătoare digitale și videointerfon
- Pregătire instalație și aparat de aer condiționat inclus
- Glafuri marmură interior/exterior
- Înălțimea camerelor de 2,75 m
Știm cu toții că timpul este cea mai importantă resursă, iar noi îți respectăm timpul aducându-ți următoarele beneficii:

- supermarket
- farmacie
- terenuri și sală de sport
- spații de joacă pentru copii
- parcări biciclete
- parcări subterane și supraterane
- cabinete medicale
- spații verzi amenajate de peisagiști profesioniști
- piste pentru biciclete în jurul complexului
- stație mijloc de transport în comun exact în fața complexului

Clasa energetică : A
Consumul total de energie primară: 122,24
Indicele de emisii echivalent CO2: 26,12
Consumul total specific de energie din surse regenerabile : 0
*prețul nu include TVA și parcarea . Parcarea este la prețul de 10.000 euro + TVA.
Se acceptă doar o plată integrală.","... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 | / | 20 | 128 160 € | 2000 €/m² | Finalizat! Apartament 2 camere, direct dezvoltator , Royal Town, Iasi | Agronomie, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 64.08 m² | Etaj | etajul 5 | Vezi descrierea anunțului | Ești în căutarea unei locuințe finalizate, în cea mai frumoasă zonă a Copoului?Îți propunem un apartament finalizat în 2025 cu 2 camere, decomandat, la etajul 5/8 cu suprafața totală de 64 mp.Apartame... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară"
